,0,1,face
0,20090.jpg,JH,"{'box': [554, 445, 757, 975], 'confidence': 0.9999998807907104, 'keypoints': {'nose': (809, 982), 'right_eye': (1034, 775), 'mouth_left': (726, 1156), 'left_eye': (690, 789), 'mouth_right': (1037, 1141)}}"
1,20098.jpg,JH,"{'box': [772, 49, 819, 1182], 'confidence': 0.9998756647109985, 'keypoints': {'nose': (976, 709), 'right_eye': (1236, 493), 'mouth_left': (901, 963), 'left_eye': (876, 501), 'mouth_right': (1124, 970)}}"
3,20108.jpg,JH,"{'box': [971, 88, 668, 846], 'confidence': 0.9368537068367004, 'keypoints': {'nose': (1276, 504), 'right_eye': (1426, 436), 'mouth_left': (1224, 722), 'left_eye': (1207, 422), 'mouth_right': (1390, 723)}}"
4,20111.jpg,JH,"{'box': [996, 50, 576, 741], 'confidence': 0.9998229146003723, 'keypoints': {'nose': (1165, 511), 'right_eye': (1326, 347), 'mouth_left': (1135, 670), 'left_eye': (1079, 376), 'mouth_right': (1313, 652)}}"
5,20117.jpg,JH,"{'box': [1049, 151, 498, 649], 'confidence': 0.9997857213020325, 'keypoints': {'nose': (1124, 531), 'right_eye': (1321, 413), 'mouth_left': (1092, 692), 'left_eye': (1110, 410), 'mouth_right': (1273, 699)}}"
6,20122.jpg,JH,"{'box': [688, 344, 553, 727], 'confidence': 0.9994572997093201, 'keypoints': {'nose': (841, 822), 'right_eye': (1013, 660), 'mouth_left': (779, 925), 'left_eye': (769, 647), 'mouth_right': (999, 933)}}"
7,20423.jpg,JH,"{'box': [422, 112, 820, 1169], 'confidence': 0.9999932050704956, 'keypoints': {'nose': (1128, 875), 'right_eye': (1156, 631), 'mouth_left': (845, 1012), 'left_eye': (886, 585), 'mouth_right': (1056, 1035)}}"
8,20646.jpg,JH,"{'box': [759, 488, 598, 968], 'confidence': 0.9999669790267944, 'keypoints': {'nose': (1344, 1034), 'right_eye': (1314, 845), 'mouth_left': (1126, 1220), 'left_eye': (1114, 859), 'mouth_right': (1284, 1197)}}"
9,20652.jpg,JH,"{'box': [485, 341, 333, 412], 'confidence': 0.9970608353614807, 'keypoints': {'nose': (758, 521), 'right_eye': (751, 480), 'mouth_left': (704, 636), 'left_eye': (637, 476), 'mouth_right': (785, 632)}}"
10,20658.jpg,JH,"{'box': [678, 349, 518, 683], 'confidence': 0.9995869994163513, 'keypoints': {'nose': (1074, 787), 'right_eye': (1140, 744), 'mouth_left': (860, 842), 'left_eye': (1000, 593), 'mouth_right': (957, 952)}}"
11,20668.jpg,JH,"{'box': [647, 351, 758, 1026], 'confidence': 0.9995762705802917, 'keypoints': {'nose': (856, 998), 'right_eye': (1110, 784), 'mouth_left': (756, 1130), 'left_eye': (779, 768), 'mouth_right': (1096, 1142)}}"
12,20674.jpg,JH,"{'box': [733, 355, 711, 1082], 'confidence': 0.9913010001182556, 'keypoints': {'nose': (1009, 990), 'right_eye': (1199, 775), 'mouth_left': (937, 1191), 'left_eye': (877, 791), 'mouth_right': (1165, 1178)}}"
13,20698.jpg,JH,"{'box': [593, 307, 729, 1094], 'confidence': 0.9999825954437256, 'keypoints': {'nose': (1288, 971), 'right_eye': (1261, 777), 'mouth_left': (1062, 1172), 'left_eye': (1047, 763), 'mouth_right': (1234, 1174)}}"
16,21466.jpg,JH,"{'box': [441, 351, 955, 1246], 'confidence': 0.9999889135360718, 'keypoints': {'nose': (672, 1095), 'right_eye': (946, 840), 'mouth_left': (625, 1300), 'left_eye': (585, 864), 'mouth_right': (962, 1276)}}"
19,21490.jpg,JH,"{'box': [834, 86, 741, 967], 'confidence': 0.9998788833618164, 'keypoints': {'nose': (938, 678), 'right_eye': (1156, 492), 'mouth_left': (975, 863), 'left_eye': (945, 503), 'mouth_right': (1148, 856)}}"
20,21491.jpg,JH,"{'box': [784, 141, 686, 849], 'confidence': 0.9998164772987366, 'keypoints': {'nose': (1011, 677), 'right_eye': (1186, 469), 'mouth_left': (995, 833), 'left_eye': (929, 508), 'mouth_right': (1224, 795)}}"
21,21492.jpg,JH,"{'box': [889, 151, 572, 790], 'confidence': 0.9999244213104248, 'keypoints': {'nose': (949, 612), 'right_eye': (1162, 493), 'mouth_left': (930, 776), 'left_eye': (1002, 452), 'mouth_right': (1058, 810)}}"
22,21493.jpg,JH,"{'box': [880, 204, 500, 628], 'confidence': 0.9999997615814209, 'keypoints': {'nose': (1072, 585), 'right_eye': (1207, 450), 'mouth_left': (999, 683), 'left_eye': (980, 438), 'mouth_right': (1161, 690)}}"
23,21494.jpg,JH,"{'box': [956, 138, 510, 663], 'confidence': 0.9996548891067505, 'keypoints': {'nose': (1103, 494), 'right_eye': (1295, 435), 'mouth_left': (984, 593), 'left_eye': (1090, 363), 'mouth_right': (1190, 661)}}"
24,21495.jpg,JH,"{'box': [640, 248, 541, 711], 'confidence': 0.9969647526741028, 'keypoints': {'nose': (1031, 713), 'right_eye': (1114, 567), 'mouth_left': (832, 748), 'left_eye': (912, 520), 'mouth_right': (1021, 789)}}"
